"","des","x","y","MLBCODE","pitcher","type","team","inning","date","gameday_link","LASTNAME","FIRSTNAME","PLAYERID","DAVENPORTCODE","RETROSHEETCODE","batter_name","year"
"1","Bunt Groundout",122.87,193.46,592696,605483,"O","A",7,2018-04-05,"gid_2018_04_21_minmlb_tbamlb_1","Rosario","Eddie",67098,"ROSARIO19910928A",NA,"Eddie Rosario","2018"
"2","Double",43.7580527463708,112.825223339063,596146,605164,"H","H",3,2019-03-28,"gid_2019_04_28_balmlb_minmlb_1","Kepler","Max",68091,"KEPLER-RO19930210A",NA,"Max Kepler","2019"
"3","Double",53.94,121.24,596146,488768,"H","A",2,2018-04-05,"gid_2018_03_31_minmlb_balmlb_1","Kepler","Max",68091,"KEPLER-RO19930210A",NA,"Max Kepler","2018"
"4","Double",75.18,57.14,596146,592741,"H","A",8,2018-04-05,"gid_2018_04_24_minmlb_nyamlb_1","Kepler","Max",68091,"KEPLER-RO19930210A",NA,"Max Kepler","2018"
"5","Double",79.9,59.22,596146,642232,"H","A",6,2018-04-05,"gid_2018_04_22_minmlb_tbamlb_1","Kepler","Max",68091,"KEPLER-RO19930210A",NA,"Max Kepler","2018"
"6","Double",98.65,86.25,596146,446372,"H","H",7,2018-04-05,"gid_2018_04_17_clemlb_minmlb_1","Kepler","Max",68091,"KEPLER-RO19930210A",NA,"Max Kepler","2018"
"7","Double",108.73,100.78,592696,456701,"H","A",2,2019-03-28,"gid_2019_04_03_minmlb_kcamlb_1","Rosario","Eddie",67098,"ROSARIO19910928A",NA,"Eddie Rosario","2019"
"8","Double",146.48,104.8,592696,605483,"H","A",4,2018-04-05,"gid_2018_04_21_minmlb_tbamlb_1","Rosario","Eddie",67098,"ROSARIO19910928A",NA,"Eddie Rosario","2018"
"9","Double",146.898032868526,88.7250983097639,596146,544727,"H","A",8,2019-03-28,"gid_2019_04_10_minmlb_nynmlb_1","Kepler","Max",68091,"KEPLER-RO19930210A",NA,"Max Kepler","2019"
"10","Double",150.24,178.92,592696,502190,"H","H",1,2018-04-05,"gid_2018_04_07_seamlb_minmlb_1","Rosario","Eddie",67098,"ROSARIO19910928A",NA,"Eddie Rosario","2018"
"11","Double",153.230063320835,80.8455376589841,592696,573185,"H","A",3,2019-03-28,"gid_2019_04_20_minmlb_balmlb_1","Rosario","Eddie",67098,"ROSARIO19910928A",NA,"Eddie Rosario","2019"
"12","Double",157.24651409891,149.898182104822,592696,434378,"H","A",4,2019-03-28,"gid_2019_04_24_minmlb_houmlb_1","Rosario","Eddie",67098,"ROSARIO19910928A",NA,"Eddie Rosario","2019"
"13","Double",165.75,48.46,596146,519294,"H","A",6,2018-04-05,"gid_2018_04_02_minmlb_pitmlb_1","Kepler","Max",68091,"KEPLER-RO19930210A",NA,"Max Kepler","2018"
"14","Double",169.315089232242,51.016656940833,592696,519455,"H","H",3,2019-03-28,"gid_2019_04_14_detmlb_minmlb_1","Rosario","Eddie",67098,"ROSARIO19910928A",NA,"Eddie Rosario","2019"
"15","Double",178.26,51.25,592696,622491,"H","H",1,2018-04-05,"gid_2018_04_27_cinmlb_minmlb_1","Rosario","Eddie",67098,"ROSARIO19910928A",NA,"Eddie Rosario","2018"
"16","Double",192.5,117.74,596146,547888,"H","A",2,2018-04-05,"gid_2018_04_23_minmlb_nyamlb_1","Kepler","Max",68091,"KEPLER-RO19930210A",NA,"Max Kepler","2018"
"17","Double",193.8,120.95,592696,608337,"H","H",6,2018-04-05,"gid_2018_04_12_chamlb_minmlb_1","Rosario","Eddie",67098,"ROSARIO19910928A",NA,"Eddie Rosario","2018"
"18","Double",194.67,114.91,596146,532077,"H","H",9,2018-04-05,"gid_2018_04_30_tormlb_minmlb_1","Kepler","Max",68091,"KEPLER-RO19930210A",NA,"Max Kepler","2018"
"19","Double",204.680198598131,88.9719626168224,596146,663423,"H","H",1,2019-03-28,"gid_2019_04_17_tormlb_minmlb_1","Kepler","Max",68091,"KEPLER-RO19930210A",NA,"Max Kepler","2019"
"20","Double",211.380730384291,72.2281330199501,592696,450306,"H","A",9,2019-03-28,"gid_2019_04_09_minmlb_nynmlb_1","Rosario","Eddie",67098,"ROSARIO19910928A",NA,"Eddie Rosario","2019"
"21","Double",217.92,104.94,596146,594992,"H","H",4,2018-04-05,"gid_2018_04_27_cinmlb_minmlb_1","Kepler","Max",68091,"KEPLER-RO19930210A",NA,"Max Kepler","2018"
"22","Double",219.976816649064,92.7036518252773,596146,543037,"H","H",6,2019-03-28,"gid_2019_04_30_houmlb_minmlb_1","Kepler","Max",68091,"KEPLER-RO19930210A",NA,"Max Kepler","2019"
"23","Double",220.170852803738,108.831775700935,596146,519455,"H","H",1,2019-03-28,"gid_2019_04_14_detmlb_minmlb_1","Kepler","Max",68091,"KEPLER-RO19930210A",NA,"Max Kepler","2019"
"24","Double",227.75,95.44,596146,592130,"H","H",7,2018-04-05,"gid_2018_04_30_tormlb_minmlb_1","Kepler","Max",68091,"KEPLER-RO19930210A",NA,"Max Kepler","2018"
"25","Error",1,1,596146,593334,"E","A",6,2018-04-05,"gid_2018_04_26_minmlb_nyamlb_1","Kepler","Max",68091,"KEPLER-RO19930210A",NA,"Max Kepler","2018"
"26","Error",217.92,104.94,596146,594992,"E","H",4,2018-04-05,"gid_2018_04_27_cinmlb_minmlb_1","Kepler","Max",68091,"KEPLER-RO19930210A",NA,"Max Kepler","2018"
"27","Flyout",32.5878002549843,102.681911284842,592696,623465,"O","H",7,2019-03-28,"gid_2019_04_28_balmlb_minmlb_1","Rosario","Eddie",67098,"ROSARIO19910928A",NA,"Eddie Rosario","2019"
"28","Flyout",44.908838775321,133.019338491228,592696,471911,"O","H",3,2019-03-28,"gid_2019_03_31_clemlb_minmlb_1","Rosario","Eddie",67098,"ROSARIO19910928A",NA,"Eddie Rosario","2019"
"29","Flyout",48.1676836921666,71.8482322259677,596146,446372,"O","H",6,2019-03-28,"gid_2019_03_28_clemlb_minmlb_1","Kepler","Max",68091,"KEPLER-RO19930210A",NA,"Max Kepler","2019"
"30","Flyout",55.46,63.83,592696,542947,"O","A",11,2018-04-05,"gid_2018_03_29_minmlb_balmlb_1","Rosario","Eddie",67098,"ROSARIO19910928A",NA,"Eddie Rosario","2018"
"31","Flyout",55.97,69.93,592696,542947,"O","A",6,2018-04-05,"gid_2018_04_01_minmlb_balmlb_1","Rosario","Eddie",67098,"ROSARIO19910928A",NA,"Eddie Rosario","2018"
"32","Flyout",60.5932977055626,90.4437917003814,592696,642231,"O","H",7,2019-03-28,"gid_2019_04_27_balmlb_minmlb_1","Rosario","Eddie",67098,"ROSARIO19910928A",NA,"Eddie Rosario","2019"
